arm,workload,cache_state,entities,fields,source_sha256,source_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,serialized_spine_bytes,repetition,source_known_us,first_preview_us,semantic_or_scan_current_us
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,5,,,20039
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,5,,,28608
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,6,,,19817
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,6,,,20397
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,6,,,28589
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,6,52,178,14957
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,7,,,20455
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,7,,,30478
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,7,99,249,16074
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,7,,,20579
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,8,,,29150
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,8,56,172,15997
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,8,,,19496
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,8,,,23605
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,9,124,290,15359
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,9,,,19599
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,9,,,19629
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,9,,,29023
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,10,,,18956
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,10,,,20343
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,10,,,31246
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,10,45,148,14930
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,11,,,20201
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,11,,,29614
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,11,80,208,15153
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,11,,,18660
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,12,,,30088
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,12,70,195,15722
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,12,,,19487
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,12,,,20117
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,13,48,151,15196
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,13,,,19442
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,13,,,20081
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,13,,,29647
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,14,,,19787
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,14,,,20574
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,14,,,29317
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,14,68,193,15209
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,15,,,19915
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,15,,,29492
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,15,90,234,14999
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,15,,,19239
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,16,,,29589
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,16,42,143,15440
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,16,,,19191
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,16,,,20770
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,17,49,161,15386
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,17,,,19736
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,17,,,20212
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,17,,,29336
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,18,,,19002
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,18,,,20221
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,18,,,29583
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,18,45,150,15753
C-structural,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,1026438,19,,,20448
A0,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,1488858,4466574,745429,1000,3000,1000,1000,0,19,,,29505
A1,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,0,19,99,241,15473
C-directory,mixed_realistic_game_data,os_cache_warm,1000,5000,a87b7f2ff60755d0e0a6970ccde2dd0aff382395968fafe7f3ef29e187e8e9f5,745429,744429,2233287,745429,1000,3000,1000,1000,236332,19,,,19453
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,0,,,342922
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,0,158,333,178573
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,0,,,193260
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,0,,,192916
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,1,98,259,176755
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,1,,,194981
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,1,,,194075
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,1,,,341219
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,2,,,194259
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,2,,,195042
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,2,,,340288
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,2,92,252,195544
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,3,,,193401
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,3,,,353301
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,3,240,444,177789
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,3,,,192867
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,4,,,337864
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,4,125,300,180516
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,4,,,241910
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,4,,,196244
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,5,68,215,176162
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,5,,,199282
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,5,,,198092
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,5,,,344080
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,6,,,192957
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,6,,,192739
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,6,,,343405
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,6,104,272,198313
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,7,,,258593
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,7,,,404260
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,7,119,282,178461
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,7,,,198735
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,8,,,342291
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,8,114,275,178164
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,8,,,194306
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,8,,,194932
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,9,77,229,176230
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,9,,,193591
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,9,,,193994
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,9,,,342918
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,10,,,197165
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,10,,,195319
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,10,,,352788
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,10,109,274,177460
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,11,,,195261
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,11,,,352691
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,11,110,281,179260
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,11,,,194466
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,12,,,385574
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,12,84,252,184785
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,12,,,196041
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,12,,,194565
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,13,69,216,176149
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,13,,,196006
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,13,,,196405
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,13,,,362208
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,14,,,195493
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,14,,,197132
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,14,,,339064
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,14,129,312,178546
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,15,,,193415
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,15,,,345252
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,15,131,292,179080
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,15,,,196513
A0,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,38016840,114050520,19012420,4000,0,0,0,0,16,,,340771
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,16,99,257,179538
C-directory,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,992524,16,,,200684
C-structural,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,1320633,16,,,198139
A1,payload_unicode_long_record,os_cache_warm,4000,4000,c8c60efb9020aaba0719152be1c8bb5123b2987e32673f35ef81f63901a6d422,19012420,19008420,57025260,19012420,4000,0,0,0,0,17,106,308,189210
